Array size;Fill function;Pivot function;Time elapsed[s]
570000;Non-decreasing;Begin;40.159
580000;Random;Begin;1.010
580000;Only 0 to 100 values;Begin;0.279
580000;Non-decreasing;Begin;41.236
590000;Random;Begin;1.053
590000;Only 0 to 100 values;Begin;0.255
590000;Non-decreasing;Begin;42.294
600000;Random;Begin;1.032
600000;Only 0 to 100 values;Begin;0.253
600000;Non-decreasing;Begin;43.411
610000;Random;Begin;1.081
610000;Only 0 to 100 values;Begin;0.263
610000;Non-decreasing;Begin;44.520
620000;Random;Begin;1.103
620000;Only 0 to 100 values;Begin;0.289
620000;Non-decreasing;Begin;45.566
630000;Random;Begin;1.101
630000;Only 0 to 100 values;Begin;0.291
630000;Non-decreasing;Begin;46.739
640000;Random;Begin;1.118
640000;Only 0 to 100 values;Begin;0.253
640000;Non-decreasing;Begin;47.766
650000;Random;Begin;1.216
650000;Only 0 to 100 values;Begin;0.300
650000;Non-decreasing;Begin;48.891
660000;Random;Begin;1.150
660000;Only 0 to 100 values;Begin;0.287
660000;Non-decreasing;Begin;50.029
670000;Random;Begin;1.209
670000;Only 0 to 100 values;Begin;0.341
670000;Non-decreasing;Begin;51.194
680000;Random;Begin;1.237
680000;Only 0 to 100 values;Begin;0.311
680000;Non-decreasing;Begin;52.326
690000;Random;Begin;1.245
690000;Only 0 to 100 values;Begin;0.299
690000;Non-decreasing;Begin;53.471
700000;Random;Begin;1.259
700000;Only 0 to 100 values;Begin;0.308
700000;Non-decreasing;Begin;54.632
710000;Random;Begin;1.244
710000;Only 0 to 100 values;Begin;0.336
710000;Non-decreasing;Begin;55.797
720000;Random;Begin;1.333
720000;Only 0 to 100 values;Begin;0.323
720000;Non-decreasing;Begin;56.966
730000;Random;Begin;1.293
730000;Only 0 to 100 values;Begin;0.314
730000;Non-decreasing;Begin;58.175
740000;Random;Begin;1.282
740000;Only 0 to 100 values;Begin;0.351
740000;Non-decreasing;Begin;59.392
750000;Random;Begin;1.334
750000;Only 0 to 100 values;Begin;0.327
750000;Non-decreasing;Begin;60.622
760000;Random;Begin;1.331
760000;Only 0 to 100 values;Begin;0.398
760000;Non-decreasing;Begin;61.840
770000;Random;Begin;1.350
770000;Only 0 to 100 values;Begin;0.375
770000;Non-decreasing;Begin;63.090
780000;Random;Begin;1.367
780000;Only 0 to 100 values;Begin;0.321
780000;Non-decreasing;Begin;64.394
790000;Random;Begin;1.393
790000;Only 0 to 100 values;Begin;0.356
