Array size,Fill function,Pivot function,Time elapsed[s]
990000,Only 0 to 100 values,Begin,0.44
990000,Non-decreasing,Begin,92.182
1000000,Random,Begin,1.833
1000000,Only 0 to 100 values,Begin,0.451
1000000,Non-decreasing,Begin,94.01
10000,Random,Median of 3 elements,0.016
10000,Only 0 to 100 values,Median of 3 elements,0.005
10000,Non-decreasing,Median of 3 elements,0.016
20000,Random,Median of 3 elements,0.034
20000,Only 0 to 100 values,Median of 3 elements,0.009
20000,Non-decreasing,Median of 3 elements,0.033
30000,Random,Median of 3 elements,0.053
30000,Only 0 to 100 values,Median of 3 elements,0.011
30000,Non-decreasing,Median of 3 elements,0.052
40000,Random,Median of 3 elements,0.071
40000,Only 0 to 100 values,Median of 3 elements,0.016
40000,Non-decreasing,Median of 3 elements,0.069
50000,Random,Median of 3 elements,0.088
50000,Only 0 to 100 values,Median of 3 elements,0.021
50000,Non-decreasing,Median of 3 elements,0.087
60000,Random,Median of 3 elements,0.108
60000,Only 0 to 100 values,Median of 3 elements,0.026
60000,Non-decreasing,Median of 3 elements,0.106
70000,Random,Median of 3 elements,0.128
70000,Only 0 to 100 values,Median of 3 elements,0.028
70000,Non-decreasing,Median of 3 elements,0.125
80000,Random,Median of 3 elements,0.147
80000,Only 0 to 100 values,Median of 3 elements,0.032
80000,Non-decreasing,Median of 3 elements,0.144
90000,Random,Median of 3 elements,0.168
90000,Only 0 to 100 values,Median of 3 elements,0.036
90000,Non-decreasing,Median of 3 elements,0.163
100000,Random,Median of 3 elements,0.186
100000,Only 0 to 100 values,Median of 3 elements,0.04
100000,Non-decreasing,Median of 3 elements,0.183
110000,Random,Median of 3 elements,0.208
110000,Only 0 to 100 values,Median of 3 elements,0.047
110000,Non-decreasing,Median of 3 elements,0.202
120000,Random,Median of 3 elements,0.231
120000,Only 0 to 100 values,Median of 3 elements,0.05
120000,Non-decreasing,Median of 3 elements,0.221
130000,Random,Median of 3 elements,0.25
130000,Only 0 to 100 values,Median of 3 elements,0.055
130000,Non-decreasing,Median of 3 elements,0.24
140000,Random,Median of 3 elements,0.27
140000,Only 0 to 100 values,Median of 3 elements,0.055
140000,Non-decreasing,Median of 3 elements,0.26
150000,Random,Median of 3 elements,0.287
150000,Only 0 to 100 values,Median of 3 elements,0.062
150000,Non-decreasing,Median of 3 elements,0.28
160000,Random,Median of 3 elements,0.304
160000,Only 0 to 100 values,Median of 3 elements,0.063
160000,Non-decreasing,Median of 3 elements,0.3
170000,Random,Median of 3 elements,0.329
170000,Only 0 to 100 values,Median of 3 elements,0.067
170000,Non-decreasing,Median of 3 elements,0.318
180000,Random,Median of 3 elements,0.355
180000,Only 0 to 100 values,Median of 3 elements,0.071
180000,Non-decreasing,Median of 3 elements,0.339
190000,Random,Median of 3 elements,0.369
190000,Only 0 to 100 values,Median of 3 elements,0.073
190000,Non-decreasing,Median of 3 elements,0.358
200000,Random,Median of 3 elements,0.394
200000,Only 0 to 100 values,Median of 3 elements,0.081
200000,Non-decreasing,Median of 3 elements,0.381
210000,Random,Median of 3 elements,0.412
210000,Only 0 to 100 values,Median of 3 elements,0.083
210000,Non-decreasing,Median of 3 elements,0.399
220000,Random,Median of 3 elements,0.437
220000,Only 0 to 100 values,Median of 3 elements,0.09
220000,Non-decreasing,Median of 3 elements,0.42
230000,Random,Median of 3 elements,0.45
230000,Only 0 to 100 values,Median of 3 elements,0.097
230000,Non-decreasing,Median of 3 elements,0.441
240000,Random,Median of 3 elements,0.484
240000,Only 0 to 100 values,Median of 3 elements,0.102
240000,Non-decreasing,Median of 3 elements,0.459
250000,Random,Median of 3 elements,0.496
250000,Only 0 to 100 values,Median of 3 elements,0.109
250000,Non-decreasing,Median of 3 elements,0.479
260000,Random,Median of 3 elements,0.519
260000,Only 0 to 100 values,Median of 3 elements,0.106
260000,Non-decreasing,Median of 3 elements,0.5
270000,Random,Median of 3 elements,0.536
270000,Only 0 to 100 values,Median of 3 elements,0.114
270000,Non-decreasing,Median of 3 elements,0.521
280000,Random,Median of 3 elements,0.558
280000,Only 0 to 100 values,Median of 3 elements,0.11
280000,Non-decreasing,Median of 3 elements,0.543
290000,Random,Median of 3 elements,0.575
290000,Only 0 to 100 values,Median of 3 elements,0.121
290000,Non-decreasing,Median of 3 elements,0.562
300000,Random,Median of 3 elements,0.593
300000,Only 0 to 100 values,Median of 3 elements,0.114
300000,Non-decreasing,Median of 3 elements,0.581
310000,Random,Median of 3 elements,0.627
310000,Only 0 to 100 values,Median of 3 elements,0.129
310000,Non-decreasing,Median of 3 elements,0.601
320000,Random,Median of 3 elements,0.634
320000,Only 0 to 100 values,Median of 3 elements,0.147
320000,Non-decreasing,Median of 3 elements,0.622
330000,Random,Median of 3 elements,0.673
330000,Only 0 to 100 values,Median of 3 elements,0.136
330000,Non-decreasing,Median of 3 elements,0.642
340000,Random,Median of 3 elements,0.699
340000,Only 0 to 100 values,Median of 3 elements,0.137
340000,Non-decreasing,Median of 3 elements,0.663
350000,Random,Median of 3 elements,0.703
350000,Only 0 to 100 values,Median of 3 elements,0.13
350000,Non-decreasing,Median of 3 elements,0.684
360000,Random,Median of 3 elements,0.725
360000,Only 0 to 100 values,Median of 3 elements,0.145
360000,Non-decreasing,Median of 3 elements,0.704
370000,Random,Median of 3 elements,0.751
370000,Only 0 to 100 values,Median of 3 elements,0.148
370000,Non-decreasing,Median of 3 elements,0.726
