Array size;Fill function;Pivot function;Time elapsed[s]
100;Random;Median of 3 elements;0.000
100;Only 0 to 100 values;Median of 3 elements;0.000
100;Non-decreasing;Median of 3 elements;0.000
110;Random;Median of 3 elements;0.000
110;Only 0 to 100 values;Median of 3 elements;0.000
110;Non-decreasing;Median of 3 elements;0.001
120;Random;Median of 3 elements;0.000
120;Only 0 to 100 values;Median of 3 elements;0.000
120;Non-decreasing;Median of 3 elements;0.000
130;Random;Median of 3 elements;0.000
130;Only 0 to 100 values;Median of 3 elements;0.000
130;Non-decreasing;Median of 3 elements;0.001
140;Random;Median of 3 elements;0.000
140;Only 0 to 100 values;Median of 3 elements;0.000
140;Non-decreasing;Median of 3 elements;0.000
150;Random;Median of 3 elements;0.000
150;Only 0 to 100 values;Median of 3 elements;0.001
150;Non-decreasing;Median of 3 elements;0.000
160;Random;Median of 3 elements;0.000
160;Only 0 to 100 values;Median of 3 elements;0.000
160;Non-decreasing;Median of 3 elements;0.001
170;Random;Median of 3 elements;0.000
170;Only 0 to 100 values;Median of 3 elements;0.000
170;Non-decreasing;Median of 3 elements;0.001
180;Random;Median of 3 elements;0.000
180;Only 0 to 100 values;Median of 3 elements;0.000
180;Non-decreasing;Median of 3 elements;0.001
190;Random;Median of 3 elements;0.000
190;Only 0 to 100 values;Median of 3 elements;0.000
190;Non-decreasing;Median of 3 elements;0.000
200;Random;Median of 3 elements;0.000
200;Only 0 to 100 values;Median of 3 elements;0.000
200;Non-decreasing;Median of 3 elements;0.000
210;Random;Median of 3 elements;0.000
210;Only 0 to 100 values;Median of 3 elements;0.000
210;Non-decreasing;Median of 3 elements;0.000
220;Random;Median of 3 elements;0.000
220;Only 0 to 100 values;Median of 3 elements;0.000
220;Non-decreasing;Median of 3 elements;0.000
230;Random;Median of 3 elements;0.000
230;Only 0 to 100 values;Median of 3 elements;0.000
230;Non-decreasing;Median of 3 elements;0.000
240;Random;Median of 3 elements;0.000
240;Only 0 to 100 values;Median of 3 elements;0.001
240;Non-decreasing;Median of 3 elements;0.000
250;Random;Median of 3 elements;0.000
250;Only 0 to 100 values;Median of 3 elements;0.000
250;Non-decreasing;Median of 3 elements;0.000
260;Random;Median of 3 elements;0.000
260;Only 0 to 100 values;Median of 3 elements;0.001
260;Non-decreasing;Median of 3 elements;0.000
270;Random;Median of 3 elements;0.001
270;Only 0 to 100 values;Median of 3 elements;0.000
270;Non-decreasing;Median of 3 elements;0.000
280;Random;Median of 3 elements;0.000
280;Only 0 to 100 values;Median of 3 elements;0.000
280;Non-decreasing;Median of 3 elements;0.000
290;Random;Median of 3 elements;0.000
290;Only 0 to 100 values;Median of 3 elements;0.001
290;Non-decreasing;Median of 3 elements;0.000
300;Random;Median of 3 elements;0.000
300;Only 0 to 100 values;Median of 3 elements;0.000
300;Non-decreasing;Median of 3 elements;0.001
310;Random;Median of 3 elements;0.000
310;Only 0 to 100 values;Median of 3 elements;0.000
310;Non-decreasing;Median of 3 elements;0.001
320;Random;Median of 3 elements;0.001
320;Only 0 to 100 values;Median of 3 elements;0.000
320;Non-decreasing;Median of 3 elements;0.000
330;Random;Median of 3 elements;0.000
330;Only 0 to 100 values;Median of 3 elements;0.000
330;Non-decreasing;Median of 3 elements;0.001
340;Random;Median of 3 elements;0.001
340;Only 0 to 100 values;Median of 3 elements;0.000
340;Non-decreasing;Median of 3 elements;0.000
350;Random;Median of 3 elements;0.001
350;Only 0 to 100 values;Median of 3 elements;0.001
350;Non-decreasing;Median of 3 elements;0.000
360;Random;Median of 3 elements;0.000
360;Only 0 to 100 values;Median of 3 elements;0.000
360;Non-decreasing;Median of 3 elements;0.001
370;Random;Median of 3 elements;0.001
370;Only 0 to 100 values;Median of 3 elements;0.001
370;Non-decreasing;Median of 3 elements;0.000
380;Random;Median of 3 elements;0.001
380;Only 0 to 100 values;Median of 3 elements;0.001
380;Non-decreasing;Median of 3 elements;0.001
390;Random;Median of 3 elements;0.000
390;Only 0 to 100 values;Median of 3 elements;0.000
390;Non-decreasing;Median of 3 elements;0.000
